Date,Open,High,Low,Close,Adj Close,Volume
1999-04-29,7.919246,7.919246,7.678227,28.312506,7.798737,370800
1999-04-30,7.747084,7.815955,7.574934,28.000013,7.712661,378100
1999-05-03,7.678227,7.953683,7.402771,27.000000,7.437204,1218300
1999-05-04,7.609368,7.678227,7.402771,26.937496,7.419989,413200
1999-05-05,7.471638,7.471638,7.333911,26.937496,7.419989,766800
1999-05-06,7.333911,7.574934,7.196183,26.874990,7.402771,314700
1999-05-07,7.402771,7.471638,7.127324,26.437489,7.282260,112200
1999-05-10,7.333911,7.333911,6.989597,26.312513,7.247836,348900
1999-05-11,7.299477,7.747084,7.299477,27.312492,7.523283,773100
1999-05-12,7.609368,7.850379,7.471638,27.437502,7.557714,441600
1999-05-13,7.643793,7.936463,7.419989,28.750008,7.919246,642600
1999-05-14,7.678227,7.884813,7.678227,28.624992,7.884813,204400
1999-05-17,7.850379,7.919246,7.574934,28.124989,7.747084,345100
1999-05-18,7.815955,7.867598,7.678227,28.375008,7.815955,253300
1999-05-19,7.781521,8.194694,7.781521,28.999992,7.988106,999600
1999-05-20,7.884813,7.919246,7.781521,28.499985,7.850379,120100
1999-05-21,7.867598,7.919246,7.574934,28.499985,7.850379,192600
1999-05-24,7.815955,8.056975,7.643793,28.187492,7.764302,578400
1999-05-25,7.781521,7.781521,7.437204,27.687487,7.626575,270000
1999-05-26,7.471638,7.609368,7.299477,27.125010,7.471638,157900
1999-05-27,7.557714,7.557714,7.092890,27.062508,7.454422,286800
1999-05-28,7.540497,7.712661,7.506065,27.625015,7.609368,259800
1999-06-01,7.566323,7.729869,7.471638,27.187515,7.488856,487900
1999-06-02,7.471638,7.729869,7.454422,28.062485,7.729869,301900
1999-06-03,7.747084,7.919246,7.678227,28.624992,7.884813,359700
1999-06-04,7.884813,8.194694,7.884813,29.250011,8.056975,1299600
1999-06-07,8.056975,8.366855,8.056975,29.687513,8.177484,693400
1999-06-08,8.091399,8.160269,7.850379,28.499985,7.850379,325900
1999-06-09,7.815955,7.988106,7.729869,28.375008,7.815955,155400
1999-06-10,7.781521,7.902031,7.781521,28.687500,7.902031,21100
1999-06-11,8.022540,8.194694,7.747084,28.875015,7.953683,349800
1999-06-14,7.850379,8.056975,7.841778,28.937485,7.970888,915900
1999-06-15,8.056975,8.091399,7.953683,28.999992,7.988106,313300
1999-06-16,8.022540,8.056975,7.988106,29.250011,8.056975,366400
1999-06-17,8.022540,8.160269,7.970888,29.562504,8.143051,979300
1999-06-18,8.074191,8.297997,8.005322,30.000006,8.263560,567000
1999-06-21,8.194694,8.297997,8.194694,29.874992,8.229127,411000
1999-06-22,8.263560,8.263560,7.919246,29.250011,8.056975,215500
1999-06-23,7.988106,8.263560,7.919246,29.749985,8.194694,366700
1999-06-24,8.143051,8.229127,8.125836,29.874992,8.229127,822100
1999-06-25,8.229127,8.280779,8.194694,29.874992,8.229127,463000
1999-06-28,8.194694,8.315203,8.194694,30.000006,8.263560,614800
1999-06-29,8.297997,8.297997,8.160269,30.062508,8.280779,321400
1999-06-30,8.280779,8.676735,8.177484,30.500010,8.401289,1129500
1999-07-01,8.332421,8.711169,8.315203,31.375013,8.642310,325500
1999-07-02,8.642310,8.642310,8.384075,31.124994,8.573443,185500
1999-07-06,8.573443,8.607877,8.470148,30.875008,8.504582,208500
1999-07-07,8.435715,8.504582,8.108620,29.562504,8.143051,556800
1999-07-08,8.125836,8.125836,7.712661,28.531237,7.858987,329500
1999-07-09,7.833169,8.229127,7.833169,29.625006,8.160269,278200
1999-07-12,7.988106,8.160269,7.815955,29.125002,8.022540,490200
1999-07-13,7.919246,8.022540,7.850379,28.999992,7.988106,264700
1999-07-14,7.988106,8.125836,7.936463,29.125002,8.022540,276300
1999-07-15,8.091399,8.263560,7.953683,30.000006,8.263560,359700
1999-07-16,8.263560,8.297997,8.194694,30.000006,8.263560,123400
1999-07-19,8.263560,8.711169,8.229127,30.624985,8.435715,615100
1999-07-20,8.521802,8.711169,8.280779,31.499989,8.676735,501400
1999-07-21,8.728387,9.055483,8.676735,31.499989,8.676735,407700
1999-07-22,8.711169,8.745605,8.056975,29.781235,8.203302,390100
1999-07-23,8.470148,8.711169,8.315203,30.375000,8.366855,457800
1999-07-26,8.358248,8.676735,8.349637,30.624985,8.435715,173400
1999-07-27,8.297997,8.693952,8.194694,31.499989,8.676735,425400
1999-07-28,8.659519,8.676735,8.366855,30.375000,8.366855,110200
1999-07-29,8.401289,8.504582,8.022540,29.749985,8.194694,849100
1999-07-30,8.246346,8.401289,8.022540,30.000006,8.263560,138300
1999-08-02,8.229127,8.332421,8.177484,29.874992,8.229127,137700
1999-08-03,8.272172,8.349637,8.194694,30.312492,8.349637,269500
1999-08-04,8.315203,8.349637,8.091399,29.781235,8.203302,385300
1999-08-05,8.177484,8.297997,8.056975,29.937498,8.246346,132400
1999-08-06,8.229127,8.297997,8.125836,29.687513,8.177484,62200
1999-08-09,8.194694,8.263560,7.884813,28.750008,7.919246,164800
1999-08-10,8.056975,8.056975,7.747084,28.187492,7.764302,294300
1999-08-11,7.764302,7.867598,7.092890,27.625015,7.609368,530700
1999-08-12,7.712661,8.125836,7.678227,28.124989,7.747084,299700
1999-08-13,7.833169,8.039759,7.781521,28.875015,7.953683,387600
1999-08-16,7.953683,8.263560,7.953683,29.625006,8.160269,843000
1999-08-17,8.246346,8.246346,7.953683,29.749985,8.194694,112900
1999-08-18,8.125836,8.504582,8.091399,30.312492,8.349637,235000
1999-08-19,8.366855,8.366855,8.143051,29.937498,8.246346,98500
1999-08-20,8.194694,8.263560,8.022540,29.312515,8.074191,56800
1999-08-23,8.056975,8.297997,8.056975,29.625006,8.160269,195700
1999-08-24,8.160269,8.263560,8.056975,29.656260,8.168877,179500
1999-08-25,8.194694,8.401289,8.160269,30.249990,8.332421,442000
1999-08-26,8.332421,8.745605,8.332421,31.250004,8.607877,677200
1999-08-27,8.607877,8.676735,8.435715,30.875008,8.504582,291100
1999-08-30,8.435715,8.573443,8.401289,30.937511,8.521802,312000
1999-08-31,8.495975,8.521802,8.229127,30.249990,8.332421,295200
1999-09-01,8.418505,8.642310,8.332421,31.312506,8.625093,251700
1999-09-02,8.547615,8.573443,8.401289,30.812502,8.487366,219300
1999-09-03,8.607877,8.780029,8.573443,31.499989,8.676735,423900
1999-09-07,8.642310,8.676735,8.435715,31.499989,8.676735,229600
1999-09-08,8.521802,8.883330,8.504582,31.187496,8.590657,237700
1999-09-09,8.676735,8.711169,8.573443,31.250004,8.607877,93700
1999-09-10,8.607877,8.676735,8.297997,30.437508,8.384075,479400
1999-09-13,8.401289,8.573443,8.401289,30.500010,8.401289,110700
1999-09-14,8.452931,8.470148,8.280779,30.749994,8.470148,52200
1999-09-15,8.470148,8.470148,7.712661,29.499996,8.125836,284100
1999-09-16,8.108620,8.160269,7.712661,28.750008,7.919246,283000
1999-09-17,8.091399,8.315203,7.712661,28.499985,7.850379,360000
1999-09-20,7.902031,8.022540,7.643793,27.875004,7.678227,303700
1999-09-21,7.695442,7.953683,7.678227,28.624992,7.884813,94000
1999-09-22,7.919246,7.953683,7.643793,28.124989,7.747084,102700
1999-09-23,7.747084,7.850379,7.712661,28.187492,7.764302,112200
1999-09-24,7.781521,7.884813,7.506065,28.624992,7.884813,330000
1999-09-27,7.833169,8.229127,7.747084,28.875015,7.953683,317800
